WORD,FREQUENCY 
instrument,4 
pity,4 
ground,4 
enemies,4 
friends,4 
thats,4 
funeral,4 
wrong,4 
shalt,4 
far,4 
pindarus,4 
denied,4 
army,4 
conspiracy,3 
citizens,3 
conspirators,3 
idle,3 
thou,3 
am,3 
beseech,3 
the,3 
matters,3 
danger,3 
proper,3 
upon,3 
gone,3 
rejoice,3 
conquest,3 
brings,3 
stones,3 
worse,3 
knew,3 
pompey,3 
walls,3 
windows,3 
arms,3 
shout,3 
tears,3 
kiss,3 
pluckd,3 
ordinary,3 
music,3 
forget,3 
tongue,3 
turnd,3 
hear,3 
throng,3 
order,3 
have,3 
trouble,3 
construe,3 
breast,3 
sees,3 
dangers,3 
new,3 
hard,3 
people,3 
toward,3 
awe,3 
born,3 
yonder,3 
become,3 
god,3 
bend,3 
fit,3 
alone,3 
shout,3 
huge,3 
together,3 
sound,3 
heavy,3 
soon,3 
names,3 
grown,3 
age,3 
state,3 
entreat,3 
consider,3 
struck,3 
fiery,3 
senators,3 
has,3 
greater,3 
themselves,3 
ear,3 
offered,3 
wast,3 
crown,3 
twas,3 
neither,3 
told,3 
thinking,3 
my,3 
fingers,3 
refused,3 
because,3 
sickness,3 
according,3 
stood,3 
soul,3 
mothers,3 
sad,3 
neer,3 
tomorrow,3 
mettle,3 
bold,3 
enterprise,3 
ambition,3 
thunder,3 
earth,3 
either,3 
anything,3 
sight,3 
besides,3 
hundred,3 
marketplace,3 
purpose,3 
heavens,3 
known,3 
faults,3 
cross,3 
present,3 
fools,3 
children,3 
spirits,3 
save,3 
tyranny,3 
pleasure,3 
haste,3 
grief,3 
led,3 
griefs,3 
far,3 
statue,3 
hearts,3 
worth,3 
calld,3 
turns,3 
round,3 
clouds,3 
kind,3 
sir,3 
sleepst,3 
piece,3 
motion,3 
desire,3 
alone,3 
ears,3 
half,3 
opinion,3 
drop,3 
cowards,3 
steel,3 
doubt,3 
means,3 
commend,3 
fit,3 
together,3 
head,3 
caius,3 
bleed,3 
flatterers,3 
reasons,3 
morning,3 
gentlemen,3 
matter,3 
rise,3 
health,3 
answerd,3 
sign,3 
fearing,3 
withal,3 
sleep,3 
mind,3 
tonight,3 
been,3 
more,3 
wife,3 
drops,3 
visit,3 
ligarius,3 
run,3 
whats,3 
leads,3 
fight,3 
themselves,3 
taste,3 
knows,3 
wisdom,3 
heres,3 
hail,3 
happy,3 
private,3 
dream,3 
apt,3 
yield,3 
publius,3 
ist,3 
thank,3 
long,3 
along,3 
teeth,3 
prithee,3 
madam,3 
thine,3 
suit,3 
oer,3 
urge,3 
makes,3 
sudden,3 
presently,3 
sweet,3 
move,3 
constant,3 
conspirators,3 
dies,3 
deed,3 
fled,3 
years,3 
honord,3 
affairs,3 
honor,3 
depart,3 
glories,3 
die,3 
business,3 
receive,3 
true,3 
wounds,3 
advantage,3 
speech,3 
noblest,3 
side,3 
hot,3 
pulpit,3 
if,3 
less,3 
slew,3 
joy,3 
fortune,3 
enforced,3 
villains,3 
ran,3 
revenge,3 
honorable,3 
straight,3 
wisely,3 
lepidus,3 
gold,3 
horse,3 
octavius,3 
powers,3 
sit,3 
master,3 
lucilius,3 
friendly,3 
better,3 
gold,3 
mother,3 
tidings,3 
legions,3 
everything,3 
claudio,3 
sirs,3 
battle,3 
field,3 
hill,3 
triumvir,2 
conspiracy,2 
lena,2 
messengers,2 
